sku_id,week,demand,stockout_flag,holiday_flag,promotion_flag
PART-10000,2021-01-04,0.0,0,1,0
PART-10000,2021-01-11,2.0,0,1,0
PART-10000,2021-01-18,0.0,0,1,0
PART-10000,2021-01-25,2.0,0,0,0
PART-10000,2021-02-01,0.0,0,0,0
PART-10000,2021-02-08,0.0,0,0,0
PART-10000,2021-02-15,11.0,0,0,0
PART-10000,2021-02-22,12.0,0,0,0
PART-10000,2021-03-01,0.0,0,0,0
PART-10000,2021-03-08,1.0,0,0,0
PART-10000,2021-03-15,0.0,0,0,0
PART-10000,2021-03-22,1.0,0,0,0
PART-10000,2021-03-29,25.0,0,0,0
PART-10000,2021-04-05,13.0,0,0,0
PART-10000,2021-04-12,0.0,0,0,0
PART-10000,2021-04-19,0.0,0,0,0
PART-10000,2021-04-26,16.0,0,0,1
PART-10000,2021-05-03,2.0,0,0,0
PART-10000,2021-05-10,0.0,0,0,1
PART-10000,2021-05-17,15.0,0,1,1
PART-10000,2021-05-24,1.0,0,0,0
PART-10000,2021-05-31,1.0,0,0,0
PART-10000,2021-06-07,13.0,0,0,0
PART-10000,2021-06-14,0.0,0,0,0
PART-10000,2021-06-21,0.0,0,0,0
PART-10000,2021-06-28,9.0,0,1,0
PART-10000,2021-07-05,10.0,0,1,0
PART-10000,2021-07-12,2.0,0,0,0
PART-10000,2021-07-19,0.0,0,0,0
PART-10000,2021-07-26,15.0,0,0,0
PART-10000,2021-08-02,0.0,1,0,0
PART-10000,2021-08-09,0.0,1,1,0
PART-10000,2021-08-16,0.0,1,0,0
PART-10000,2021-08-23,15.0,0,0,0
PART-10000,2021-08-30,0.0,0,0,0
PART-10000,2021-09-06,66.0,0,0,0
PART-10000,2021-09-13,0.0,0,0,0
PART-10000,2021-09-20,2.0,0,0,0
PART-10000,2021-09-27,2.0,0,0,0
PART-10000,2021-10-04,21.0,0,0,1
PART-10000,2021-10-11,0.0,0,0,0
PART-10000,2021-10-18,14.0,0,0,0
PART-10000,2021-10-25,0.0,1,0,1
PART-10000,2021-11-01,0.0,1,0,0
PART-10000,2021-11-08,0.0,1,0,0
PART-10000,2021-11-15,17.0,0,0,1
PART-10000,2021-11-22,0.0,0,0,0
PART-10000,2021-11-29,,0,0,0
PART-10000,2021-12-06,1.0,0,0,0
PART-10000,2021-12-13,13.0,0,0,0
PART-10000,2021-12-20,1.0,0,1,0
PART-10000,2021-12-27,10.0,0,1,0
PART-10000,2022-01-03,9.0,0,1,0
PART-10000,2022-01-10,14.0,0,0,0
PART-10000,2022-01-17,0.0,0,1,0
PART-10000,2022-01-24,13.0,0,0,0
PART-10000,2022-01-31,0.0,0,0,0
PART-10000,2022-02-07,2.0,0,0,0
PART-10000,2022-02-14,55.0,0,0,0
PART-10000,2022-02-21,31.0,0,0,0
PART-10000,2022-02-28,11.0,0,0,0
PART-10000,2022-03-07,0.0,0,0,0
PART-10000,2022-03-14,7.0,0,1,0
PART-10000,2022-03-21,2.0,0,0,0
PART-10000,2022-03-28,0.0,0,0,0
PART-10000,2022-04-04,0.0,0,0,1
PART-10000,2022-04-11,0.0,0,0,1
PART-10000,2022-04-18,16.0,0,0,1
PART-10000,2022-04-25,0.0,0,0,0
PART-10000,2022-05-02,0.0,0,0,1
PART-10000,2022-05-09,0.0,0,0,1
PART-10000,2022-05-16,0.0,0,0,1
PART-10000,2022-05-23,,0,0,1
PART-10000,2022-05-30,1.0,0,0,0
PART-10000,2022-06-06,1.0,0,0,0
PART-10000,2022-06-13,0.0,0,0,0
PART-10000,2022-06-20,1.0,0,0,0
PART-10000,2022-06-27,0.0,0,0,0
PART-10000,2022-07-04,14.0,0,0,0
PART-10000,2022-07-11,66.0,0,0,0
